"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"AMPLA PLANOS DE SAUDE  LTDA (422720)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"202208";"13/09/2022 15:15:14"
"ANGELI SISTEMAS DE SAUDE S.A. (421871)";"Médico Hospitalar";"Pequeno";"173";"";"0,00";"";"";"";"";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708)";"Médico Hospitalar";"Pequeno";"17";"10";"  35,97";"  74,65";" 138,11";" 596,03";" 1083,34";" 784,04";" 355,97";" 108,76";"   4,37";"   5,21";"   4,35";"   2,61";"202208";"13/09/2022 15:15:14"
"ARCELORMITTAL BRASIL S/A (416070)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236)";"Médico Hospitalar";"Médio";"48";"46";"   4,81";"   6,35";"   6,47";"   8,39";"    6,72";"   5,61";"   4,13";"   6,15";"   9,50";"  10,91";"  10,03";"  10,50";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554)";"Médico Hospitalar";"Pequeno";"173";"176";"0,00";"   0,66";"   1,32";"   2,62";"    3,92";"   4,55";"   3,25";"   1,95";"   2,60";"   3,89";"   3,24";"   2,59";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752)";"Médico Hospitalar";"Médio";"32";"34";"   7,44";"   8,45";"   9,63";"  11,28";"   10,29";"  12,07";"   9,29";"  11,87";"  14,28";"  18,70";"  16,67";"  11,08";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146)";"Médico Hospitalar";"Pequeno";"37";"34";"  11,20";"  16,79";"  12,18";"  20,59";"   16,00";"  24,01";"  20,34";"  28,26";"  25,47";"  35,81";"  36,55";"  38,24";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326)";"Médico Hospitalar";"Médio";"203";"198";"0,00";"   0,26";"   0,26";"   0,51";"    0,25";"   0,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540)";"Médico Hospitalar";"Grande";"92";"92";"   0,15";"   0,11";"0,00";"   0,04";"    0,11";"   0,11";"   0,23";"   0,23";"   0,38";"   0,34";"   0,27";"   0,11";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947)";"Médico Hospitalar";"Médio";"87";"78";"   2,16";"   2,95";"   3,01";"   2,82";"    2,36";"   1,34";"   1,09";"   2,78";"   4,52";"   6,02";"   6,38";"   5,57";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568)";"Médico Hospitalar";"Médio";"202";"203";"   0,14";"   0,14";"   0,28";"   0,14";"    0,14";"0,00";"   0,14";"   0,14";"   0,14";"0,00";"0,00";"   0,14";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218)";"Médico Hospitalar";"Grande";"2";"3";"  18,49";"  20,40";"  18,83";"  19,14";"   15,86";"  17,03";"  14,73";"  15,95";"  16,39";"  16,79";"  17,43";"  16,25";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE SAÚDE DO VALE (422321)";"Médico Hospitalar";"Pequeno";"152";"186";"   0,94";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,68";"   2,11";"   2,30";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731)";"Médico Hospitalar";"Pequeno";"153";"163";"   0,93";"   0,93";"   0,94";"   0,94";"    0,95";"   0,94";"   0,94";"   0,93";"   0,93";"   0,92";"   0,93";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO DE SAUDE HOLAMBRA (360783)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530)";"Médico Hospitalar";"Médio";"7";"6";"  21,86";"  25,76";"  29,54";"  30,01";"   24,69";"  15,69";"   9,72";"   8,44";"   7,01";"   7,14";"   7,15";"   6,90";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533)";"Médico Hospitalar";"Pequeno";"88";"186";"   3,19";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,15";"   3,15";"   3,15";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000)";"Médico Hospitalar";"Pequeno";"68";"89";"   4,78";"   3,20";"   4,08";"   5,01";"    6,83";"   6,89";"   4,35";"   3,51";"   1,76";"   5,27";"   7,89";"   8,82";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021)";"Médico Hospitalar";"Médio";"16";"13";"  11,88";"  15,02";"  13,67";"  13,94";"   11,51";"  12,77";"  12,13";"  14,43";"  15,33";"  17,13";"  14,42";"  12,23";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632)";"Médico Hospitalar";"Pequeno";"109";"154";"   2,06";"   1,03";"   1,54";"   3,07";"    4,09";"   3,06";"   1,02";"   1,02";"   1,52";"   2,03";"   1,52";"   1,01";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704)";"Médico Hospitalar";"Pequeno";"173";"66";"0,00";"   5,80";"   8,69";"   8,68";"    2,89";"   2,88";"   2,88";"  11,51";"  17,28";"  20,15";"  17,28";"   8,63";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,51";"   1,50";"    1,50";"0,00";"0,00";"0,00";"0,00";"   3,00";"   3,00";"   3,01";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599)";"Médico Hospitalar";"Médio";"195";"176";"   0,25";"   0,50";"   0,25";"   0,50";"    0,25";"   0,49";"   0,49";"   0,73";"   0,73";"   1,21";"   1,20";"   1,19";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129)";"Médico Hospitalar";"Pequeno";"42";"32";"   9,33";"  18,46";"  22,63";"  13,36";"    4,40";"   4,40";"   4,39";"   4,39";"0,00";"   4,39";"   8,76";"   8,74";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"125";"132";"   1,62";"   1,62";"   1,61";"   1,61";"    1,61";"   3,21";"   3,20";"   3,20";"   1,59";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028)";"Médico Hospitalar";"Médio";"170";"200";"   0,48";"   0,24";"   0,24";"   0,24";"    0,49";"   0,49";"   0,49";"   0,49";"   0,98";"   0,98";"   1,22";"   0,73";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556)";"Médico Hospitalar";"Médio";"160";"178";"   0,64";"   0,48";"   0,48";"   0,48";"    0,81";"   1,13";"   1,93";"   1,93";"   1,77";"   0,97";"   0,97";"   0,65";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755)";"Médico Hospitalar";"Médio";"58";"64";"   3,82";"   4,03";"   3,03";"   1,83";"    2,26";"   2,51";"   2,56";"   2,38";"   2,39";"   2,40";"   2,40";"   4,58";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO FCA SAÚDE (422053)";"Médico Hospitalar";"Médio";"192";"169";"   0,33";"   0,65";"   1,96";"   2,29";"    1,96";"   0,66";"   0,66";"   0,67";"   1,34";"   2,03";"   2,03";"   2,70";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584)";"Médico Hospitalar";"Médio";"176";"182";"   0,45";"   0,45";"   0,45";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,47";"   0,47";"   0,47";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL (421618)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"127";"186";"   1,57";"0,00";"0,00";"0,00";"    0,77";"   1,53";"   1,53";"   0,76";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158)";"Médico Hospitalar";"Médio";"203";"179";"0,00";"   0,47";"   0,48";"   0,48";"0,00";"0,00";"   0,97";"   1,93";"   2,42";"   1,94";"   0,97";"   0,49";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE (420816)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,10";"   3,10";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS (422631)";"Médico Hospitalar";"Grande";"37";"34";"   5,30";"   6,76";"   6,86";"   7,92";"    7,31";"   7,66";"   7,90";"   8,99";"   9,41";"  10,23";"  10,13";"   8,60";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PLAME DE SAÚDE (419974)";"Médico Hospitalar";"Pequeno";"53";"58";"   7,12";"   6,97";"   6,82";"  13,35";"   13,13";"   6,49";"0,00";"0,00";"0,00";"   6,20";"   6,11";"  12,04";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"140";"147";"   1,13";"   1,16";"   1,18";"0,00";"0,00";"   2,41";"   2,43";"   2,44";"   1,23";"   1,23";"   2,49";"   1,25";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL ASSISTENCIAL (407097)";"Médico Hospitalar";"X";"1";"1";"0,00";"0,00";"  10,87";"  10,77";"   10,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110)";"Médico Hospitalar";"Pequeno";"65";"76";"   5,60";"   4,46";"   2,22";"   1,11";"    1,10";"   1,10";"0,00";"   1,10";"   1,09";"   2,18";"   1,09";"   1,08";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,55";"   2,54";"   2,54";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   7,76";"202208";"13/09/2022 15:15:14"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   5,00";"   4,99";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794)";"Médico Hospitalar";"Pequeno";"173";"119";"0,00";"   2,10";"   2,09";"   2,09";"    2,08";"   2,07";"   2,06";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   5,78";"   5,75";"    5,71";"   5,66";"   5,61";"   5,57";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937)";"Médico Hospitalar";"Pequeno";"173";"126";"0,00";"   1,74";"   1,74";"   1,73";"0,00";"0,00";"0,00";"   1,71";"   1,70";"   1,69";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (410128)";"Médico Hospitalar";"Pequeno";"131";"186";"   1,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,45";"   1,44";"   1,43";"0,00";"202208";"13/09/2022 15:15:14"
