<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	08:15:00	1.13402	1.13428	1.13384	1.13413	157	0	0
2022.01.03	08:30:00	1.13413	1.13452	1.13410	1.13432	174	0	0
2022.01.03	08:45:00	1.13434	1.13463	1.13430	1.13431	130	0	0
2022.01.03	09:00:00	1.13432	1.13462	1.13399	1.13441	457	0	0
2022.01.03	09:15:00	1.13441	1.13441	1.13364	1.13365	268	0	0
2022.01.03	09:30:00	1.13365	1.13396	1.13350	1.13395	294	0	0
2022.01.03	09:45:00	1.13395	1.13501	1.13362	1.13481	527	0	0
2022.01.03	10:00:00	1.13479	1.13479	1.13370	1.13424	815	0	0
2022.01.03	10:15:00	1.13425	1.13461	1.13353	1.13374	550	0	0
2022.01.03	10:30:00	1.13372	1.13415	1.13354	1.13395	409	0	0
2022.01.03	10:45:00	1.13394	1.13471	1.13385	1.13466	559	0	0
2022.01.03	11:00:00	1.13464	1.13564	1.13446	1.13559	436	0	0
2022.01.03	11:15:00	1.13557	1.13562	1.13387	1.13391	564	0	0
2022.01.03	11:30:00	1.13388	1.13517	1.13357	1.13480	631	0	0
2022.01.03	11:45:00	1.13480	1.13558	1.13446	1.13516	534	0	0
2022.01.03	12:00:00	1.13516	1.13588	1.13505	1.13580	488	0	0
2022.01.03	12:15:00	1.13581	1.13598	1.13547	1.13555	400	0	0
2022.01.03	12:30:00	1.13554	1.13559	1.13509	1.13519	354	0	0
2022.01.03	12:45:00	1.13519	1.13594	1.13518	1.13554	494	0	0
2022.01.03	13:00:00	1.13554	1.13582	1.13517	1.13577	591	0	0
2022.01.03	13:15:00	1.13576	1.13662	1.13573	1.13608	535	0	0
2022.01.03	13:30:00	1.13608	1.13622	1.13576	1.13584	495	0	0
2022.01.03	13:45:00	1.13584	1.13587	1.13520	1.13557	524	0	0
2022.01.03	14:00:00	1.13557	1.13562	1.13497	1.13553	533	0	0
2022.01.03	14:15:00	1.13553	1.13561	1.13496	1.13536	450	0	0
2022.01.03	14:30:00	1.13536	1.13537	1.13471	1.13511	579	0	0
2022.01.03	14:45:00	1.13508	1.13595	1.13481	1.13586	709	0	0
2022.01.03	15:00:00	1.13588	1.13588	1.13500	1.13556	831	0	0
2022.01.03	15:15:00	1.13556	1.13633	1.13510	1.13632	801	0	0
2022.01.03	15:30:00	1.13632	1.13643	1.13474	1.13523	959	0	0
2022.01.03	15:45:00	1.13526	1.13534	1.13460	1.13509	735	0	0
2022.01.03	16:00:00	1.13510	1.13519	1.13377	1.13386	810	0	0
2022.01.03	16:15:00	1.13386	1.13390	1.13250	1.13266	922	0	0
2022.01.03	16:30:00	1.13266	1.13290	1.13231	1.13238	1051	0	0
2022.01.03	16:45:00	1.13237	1.13238	1.13002	1.13061	1319	0	0
2022.01.03	17:00:00	1.13062	1.13093	1.13022	1.13043	1195	0	0
2022.01.03	17:15:00	1.13043	1.13094	1.12920	1.12958	1073	0	0
2022.01.03	17:30:00	1.12959	1.12996	1.12930	1.12996	986	0	0
2022.01.03	17:45:00	1.12996	1.13012	1.12904	1.12917	1007	0	0
2022.01.03	18:00:00	1.12917	1.12969	1.12908	1.12962	850	0	0
2022.01.03	18:15:00	1.12962	1.12988	1.12890	1.12928	815	0	0
2022.01.03	18:30:00	1.12927	1.12957	1.12865	1.12870	794	0	0
2022.01.03	18:45:00	1.12868	1.12915	1.12830	1.12889	741	0	0
2022.01.03	19:00:00	1.12888	1.12900	1.12828	1.12843	501	0	0
2022.01.03	19:15:00	1.12843	1.12864	1.12797	1.12818	622	0	0
2022.01.03	19:30:00	1.12815	1.12849	1.12800	1.12845	293	0	0
2022.01.03	19:45:00	1.12845	1.12868	1.12822	1.12838	339	0	0
2022.01.03	20:00:00	1.12839	1.12884	1.12833	1.12878	362	0	0
2022.01.03	20:15:00	1.12878	1.12917	1.12863	1.12908	247	0	0
2022.01.03	20:30:00	1.12908	1.12964	1.12907	1.12964	263	0	0
2022.01.03	20:45:00	1.12964	1.12970	1.12939	1.12948	243	0	0
2022.01.03	21:00:00	1.12948	1.12983	1.12938	1.12983	252	0	0
2022.01.03	21:15:00	1.12984	1.12986	1.12962	1.12980	282	0	0
2022.01.03	21:30:00	1.12980	1.12995	1.12950	1.12958	238	0	0
2022.01.03	21:45:00	1.12958	1.12994	1.12950	1.12973	376	0	0
2022.01.03	22:00:00	1.12972	1.12992	1.12960	1.12964	375	0	0
2022.01.03	22:15:00	1.12963	1.12991	1.12960	1.12967	205	0	0
2022.01.03	22:30:00	1.12968	1.13003	1.12959	1.12966	329	0	0
2022.01.03	22:45:00	1.12964	1.12976	1.12940	1.12964	366	0	0
2022.01.03	23:00:00	1.12965	1.12974	1.12945	1.12965	180	0	0
2022.01.03	23:15:00	1.12964	1.12974	1.12960	1.12972	76	0	0
2022.01.03	23:30:00	1.12972	1.12994	1.12971	1.12982	102	0	0
2022.01.03	23:45:00	1.12982	1.12993	1.12969	1.12979	118	0	0
2022.01.04	00:00:00	1.12959	1.12968	1.12940	1.12950	45	0	4
2022.01.04	00:15:00	1.12950	1.12965	1.12939	1.12943	545	0	1
2022.01.04	00:30:00	1.12944	1.12962	1.12943	1.12954	606	0	6
2022.01.04	00:45:00	1.12954	1.12960	1.12944	1.12947	383	0	6
2022.01.04	01:00:00	1.12951	1.12978	1.12948	1.12977	436	0	0
2022.01.04	01:15:00	1.12978	1.12998	1.12978	1.12996	127	0	0
2022.01.04	01:30:00	1.12995	1.13023	1.12956	1.12989	195	0	0
2022.01.04	01:45:00	1.12995	1.13020	1.12982	1.13020	135	0	0
2022.01.04	02:00:00	1.13020	1.13064	1.13015	1.13064	437	0	0
2022.01.04	02:15:00	1.13063	1.13068	1.13040	1.13042	130	0	0
2022.01.04	02:30:00	1.13043	1.13056	1.13038	1.13047	159	0	0
2022.01.04	02:45:00	1.13047	1.13063	1.13041	1.13056	176	0	0
2022.01.04	03:00:00	1.13057	1.13090	1.13054	1.13087	281	0	0
2022.01.04	03:15:00	1.13086	1.13088	1.13054	1.13062	228	0	0
2022.01.04	03:30:00	1.13062	1.13064	1.13035	1.13047	243	0	0
2022.01.04	03:45:00	1.13047	1.13072	1.13014	1.13067	263	0	0
2022.01.04	04:00:00	1.13068	1.13072	1.13054	1.13058	250	0	0
2022.01.04	04:15:00	1.13058	1.13082	1.13047	1.13069	237	0	0
2022.01.04	04:30:00	1.13068	1.13094	1.13063	1.13094	188	0	0
2022.01.04	04:45:00	1.13093	1.13094	1.12998	1.13022	391	0	0
2022.01.04	05:00:00	1.13022	1.13044	1.13001	1.13009	296	0	0
2022.01.04	05:15:00	1.13009	1.13024	1.12955	1.12993	338	0	0
2022.01.04	05:30:00	1.12994	1.13018	1.12991	1.13010	249	0	0
2022.01.04	05:45:00	1.13010	1.13016	1.12977	1.12978	216	0	0
2022.01.04	06:00:00	1.12978	1.13015	1.12963	1.13008	198	0	0
2022.01.04	06:15:00	1.13008	1.13009	1.12992	1.13001	173	0	0
2022.01.04	06:30:00	1.13002	1.13058	1.12998	1.13028	195	0	0
2022.01.04	06:45:00	1.13028	1.13028	1.13002	1.13008	207	0	0
2022.01.04	07:00:00	1.13007	1.13058	1.13006	1.13054	240	0	0
2022.01.04	07:15:00	1.13054	1.13058	1.13033	1.13043	105	0	0
2022.01.04	07:30:00	1.13042	1.13054	1.13026	1.13028	112	0	0
2022.01.04	07:45:00	1.13028	1.13050	1.13018	1.13050	152	0	0
2022.01.04	08:00:00	1.13050	1.13071	1.13002	1.13003	239	0	0
2022.01.04	08:15:00	1.13002	1.13014	1.12940	1.12947	263	0	0
2022.01.04	08:30:00	1.12948	1.12981	1.12939	1.12953	205	0	0
2022.01.04	08:45:00	1.12954	1.12964	1.12922	1.12930	245	0	0
2022.01.04	09:00:00	1.12933	1.12944	1.12860	1.12868	532	0	0
2022.01.04	09:15:00	1.12867	1.12897	1.12848	1.12860	428	0	0
2022.01.04	09:30:00	1.12860	1.12893	1.12839	1.12869	512	0	0
2022.01.04	09:45:00	1.12867	1.12930	1.12833	1.12916	568	0	0
2022.01.04	10:00:00	1.12917	1.13001	1.12875	1.12999	899	0	0
2022.01.04	10:15:00	1.12999	1.13004	1.12928	1.12966	732	0	0
2022.01.04	10:30:00	1.12966	1.12976	1.12911	1.12954	589	0	0
2022.01.04	10:45:00	1.12954	1.12977	1.12890	1.12897	566	0	0
2022.01.04	11:00:00	1.12896	1.12972	1.12832	1.12972	752	0	0
2022.01.04	11:15:00	1.12972	1.13069	1.12970	1.13056	615	0	0
2022.01.04	11:30:00	1.13056	1.13080	1.13016	1.13016	565	0	0
2022.01.04	11:45:00	1.13015	1.13044	1.12967	1.13021	676	0	0
2022.01.04	12:00:00	1.13021	1.13056	1.12985	1.13023	547	0	0
2022.01.04	12:15:00	1.13023	1.13047	1.13000	1.13024	606	0	0
2022.01.04	12:30:00	1.13026	1.13046	1.12982	1.13038	491	0	0
2022.01.04	12:45:00	1.13037	1.13049	1.12946	1.12947	481	0	0
2022.01.04	13:00:00	1.12947	1.12962	1.12888	1.12894	637	0	0
2022.01.04	13:15:00	1.12894	1.12895	1.12793	1.12817	780	0	0
2022.01.04	13:30:00	1.12817	1.12855	1.12770	1.12830	717	0	0
2022.01.04	13:45:00	1.12832	1.12853	1.12762	1.12762	666	0	0
2022.01.04	14:00:00	1.12762	1.12812	1.12751	1.12805	735	0	0
2022.01.04	14:15:00	1.12806	1.12835	1.12723	1.12767	900	0	0
2022.01.04	14:30:00	1.12766	1.12813	1.12750	1.12758	701	0	0
2022.01.04	14:45:00	1.12758	1.12781	1.12728	1.12730	640	0	0
2022.01.04	15:00:00	1.12730	1.12806	1.12730	1.12785	796	0	0
2022.01.04	15:15:00	1.12785	1.12899	1.12763	1.12890	891	0	0
2022.01.04	15:30:00	1.12890	1.12890	1.12794	1.12816	813	0	0
2022.01.04	15:45:00	1.12816	1.12822	1.12763	1.12801	699	0	0
2022.01.04	16:00:00	1.12804	1.12873	1.12775	1.12863	788	0	0
2022.01.04	16:15:00	1.12862	1.12882	1.12814	1.12814	811	0	0
2022.01.04	16:30:00	1.12814	1.12852	1.12787	1.12832	961	0	0
2022.01.04	16:45:00	1.12833	1.12873	1.12823	1.12850	884	0	0
2022.01.04	17:00:00	1.12851	1.12947	1.12838	1.12944	1311	0	0
2022.01.04	17:15:00	1.12943	1.13165	1.12943	1.13119	1099	0	0
2022.01.04	17:30:00	1.13117	1.13225	1.13112	1.13223	1201	0	0
2022.01.04	17:45:00	1.13224	1.13224	1.13088	1.13091	1385	0	0
2022.01.04	18:00:00	1.13092	1.13156	1.12992	1.13038	1258	0	0
2022.01.04	18:15:00	1.13038	1.13073	1.12894	1.12921	928	0	0
2022.01.04	18:30:00	1.12921	1.12952	1.12856	1.12911	799	0	0
2022.01.04	18:45:00	1.12911	1.12949	1.12894	1.12946	637	0	0
2022.01.04	19:00:00	1.12946	1.12961	1.12898	1.12913	437	0	0
2022.01.04	19:15:00	1.12913	1.12954	1.12909	1.12924	351	0	0
2022.01.04	19:30:00	1.12924	1.12934	1.12886	1.12899	330	0	0
2022.01.04	19:45:00	1.12899	1.12949	1.12896	1.12938	286	0	0
2022.01.04	20:00:00	1.12938	1.12943	1.12901	1.12920	248	0	0
2022.01.04	20:15:00	1.12919	1.12941	1.12914	1.12920	259	0	0
2022.01.04	20:30:00	1.12920	1.12920	1.12846	1.12850	276	0	0
2022.01.04	20:45:00	1.12850	1.12884	1.12796	1.12802	454	0	0
2022.01.04	21:00:00	1.12802	1.12853	1.12781	1.12850	476	0	0
2022.01.04	21:15:00	1.12850	1.12906	1.12850	1.12892	335	0	0
2022.01.04	21:30:00	1.12891	1.12930	1.12886	1.12888	280	0	0
2022.01.04	21:45:00	1.12889	1.12905	1.12870	1.12878	402	0	0
2022.01.04	22:00:00	1.12878	1.12895	1.12857	1.12894	337	0	0
2022.01.04	22:15:00	1.12894	1.12896	1.12822	1.12824	248	0	0
2022.01.04	22:30:00	1.12827	1.12878	1.12822	1.12850	261	0	0
2022.01.04	22:45:00	1.12851	1.12852	1.12809	1.12845	403	0	0
2022.01.04	23:00:00	1.12846	1.12863	1.12814	1.12828	228	0	0
2022.01.04	23:15:00	1.12829	1.12841	1.12821	1.12840	55	0	0
2022.01.04	23:30:00	1.12839	1.12844	1.12814	1.12816	100	0	0
2022.01.04	23:45:00	1.12816	1.12878	1.12816	1.12874	221	0	0
2022.01.05	00:00:00	1.12855	1.12855	1.12812	1.12838	199	0	18
2022.01.05	00:15:00	1.12839	1.12858	1.12796	1.12837	723	0	20
2022.01.05	00:30:00	1.12843	1.12854	1.12837	1.12844	151	0	11
2022.01.05	00:45:00	1.12842	1.12847	1.12826	1.12828	85	0	23
2022.01.05	01:00:00	1.12822	1.12864	1.12821	1.12852	182	0	0
2022.01.05	01:15:00	1.12851	1.12856	1.12841	1.12841	158	0	0
2022.01.05	01:30:00	1.12841	1.12851	1.12829	1.12838	130	0	0
2022.01.05	01:45:00	1.12838	1.12847	1.12817	1.12828	162	0	0
2022.01.05	02:00:00	1.12829	1.12856	1.12822	1.12848	141	0	0
2022.01.05	02:15:00	1.12848	1.12848	1.12832	1.12832	81	0	0
2022.01.05	02:30:00	1.12832	1.12836	1.12780	1.12816	218	0	0
2022.01.05	02:45:00	1.12816	1.12821	1.12770	1.12772	249	0	0
2022.01.05	03:00:00	1.12772	1.12836	1.12772	1.12830	272	0	0
2022.01.05	03:15:00	1.12830	1.12856	1.12828	1.12856	235	0	0
2022.01.05	03:30:00	1.12856	1.12868	1.12841	1.12867	167	0	0
2022.01.05	03:45:00	1.12868	1.12887	1.12855	1.12858	358	0	0
2022.01.05	04:00:00	1.12857	1.12881	1.12850	1.12862	247	0	0
2022.01.05	04:15:00	1.12862	1.12913	1.12862	1.12913	162	0	0
2022.01.05	04:30:00	1.12913	1.12934	1.12896	1.12919	233	0	0
2022.01.05	04:45:00	1.12920	1.12942	1.12919	1.12921	260	0	0
2022.01.05	05:00:00	1.12924	1.12934	1.12914	1.12929	151	0	0
2022.01.05	05:15:00	1.12928	1.12944	1.12918	1.12942	119	0	0
2022.01.05	05:30:00	1.12942	1.12968	1.12939	1.12947	178	0	0
2022.01.05	05:45:00	1.12947	1.12968	1.12946	1.12958	101	0	0
2022.01.05	06:00:00	1.12958	1.12959	1.12898	1.12901	241	0	0
2022.01.05	06:15:00	1.12906	1.12928	1.12898	1.12899	201	0	0
2022.01.05	06:30:00	1.12900	1.12913	1.12884	1.12910	176	0	0
2022.01.05	06:45:00	1.12911	1.12916	1.12886	1.12890	161	0	0
2022.01.05	07:00:00	1.12889	1.12897	1.12880	1.12882	143	0	0
2022.01.05	07:15:00	1.12882	1.12900	1.12875	1.12892	164	0	0
2022.01.05	07:30:00	1.12892	1.12909	1.12891	1.12892	109	0	0
2022.01.05	07:45:00	1.12893	1.12948	1.12891	1.12939	176	0	0
2022.01.05	08:00:00	1.12937	1.12960	1.12932	1.12945	224	0	0
2022.01.05	08:15:00	1.12947	1.12966	1.12930	1.12965	196	0	0
2022.01.05	08:30:00	1.12965	1.13012	1.12964	1.13002	225	0	0
2022.01.05	08:45:00	1.13001	1.13001	1.12951	1.12959	265	0	0
2022.01.05	09:00:00	1.12957	1.13026	1.12954	1.13016	396	0	0
2022.01.05	09:15:00	1.13016	1.13018	1.12948	1.12990	400	0	0
2022.01.05	09:30:00	1.12989	1.13012	1.12978	1.12984	382	0	0
2022.01.05	09:45:00	1.12984	1.13025	1.12972	1.12988	448	0	0
2022.01.05	10:00:00	1.12988	1.13079	1.12966	1.13060	675	0	0
2022.01.05	10:15:00	1.13060	1.13100	1.13039	1.13090	711	0	0
2022.01.05	10:30:00	1.13090	1.13110	1.13004	1.13005	558	0	0
2022.01.05	10:45:00	1.13005	1.13056	1.12970	1.13028	687	0	0
2022.01.05	11:00:00	1.13030	1.13070	1.13005	1.13038	634	0	0
2022.01.05	11:15:00	1.13037	1.13058	1.13006	1.13018	651	0	0
2022.01.05	11:30:00	1.13018	1.13054	1.13000	1.13006	590	0	0
2022.01.05	11:45:00	1.13006	1.13087	1.13004	1.13062	569	0	0
2022.01.05	12:00:00	1.13062	1.13136	1.13045	1.13096	904	0	0
2022.01.05	12:15:00	1.13096	1.13136	1.13084	1.13130	720	0	0
2022.01.05	12:30:00	1.13130	1.13140	1.13068	1.13111	583	0	0
2022.01.05	12:45:00	1.13111	1.13139	1.13048	1.13082	439	0	0
2022.01.05	13:00:00	1.13081	1.13169	1.13066	1.13148	574	0	0
2022.01.05	13:15:00	1.13150	1.13188	1.13147	1.13176	504	0	0
2022.01.05	13:30:00	1.13176	1.13238	1.13170	1.13189	676	0	0
2022.01.05	13:45:00	1.13190	1.13220	1.13172	1.13190	516	0	0
2022.01.05	14:00:00	1.13191	1.13203	1.13151	1.13162	540	0	0
2022.01.05	14:15:00	1.13162	1.13262	1.13118	1.13161	812	0	0
2022.01.05	14:30:00	1.13161	1.13176	1.13074	1.13102	721	0	0
2022.01.05	14:45:00	1.13103	1.13108	1.13048	1.13078	662	0	0
2022.01.05	15:00:00	1.13078	1.13185	1.13058	1.13182	986	0	0
2022.01.05	15:15:00	1.13181	1.13181	1.13031	1.13083	1359	0	0
2022.01.05	15:30:00	1.13083	1.13227	1.13083	1.13223	1174	0	0
2022.01.05	15:45:00	1.13223	1.13288	1.13209	1.13239	982	0	0
2022.01.05	16:00:00	1.13240	1.13301	1.13212	1.13258	877	0	0
2022.01.05	16:15:00	1.13259	1.13365	1.13252	1.13354	806	0	0
2022.01.05	16:30:00	1.13355	1.13377	1.13306	1.13321	938	0	0
2022.01.05	16:45:00	1.13322	1.13388	1.13319	1.13358	798	0	0
2022.01.05	17:00:00	1.13359	1.13440	1.13356	1.13434	910	0	0
2022.01.05	17:15:00	1.13434	1.13442	1.13364	1.13367	744	0	0
2022.01.05	17:30:00	1.13367	1.13382	1.13326	1.13360	793	0	0
2022.01.05	17:45:00	1.13360	1.13393	1.13327	1.13372	1010	0	0
2022.01.05	18:00:00	1.13370	1.13396	1.13335	1.13384	708	0	0
2022.01.05	18:15:00	1.13384	1.13387	1.13229	1.13266	819	0	0
2022.01.05	18:30:00	1.13268	1.13322	1.13251	1.13320	589	0	0
2022.01.05	18:45:00	1.13321	1.13345	1.13288	1.13341	544	0	0
2022.01.05	19:00:00	1.13341	1.13394	1.13333	1.13384	476	0	0
2022.01.05	19:15:00	1.13384	1.13465	1.13384	1.13422	482	0	0
2022.01.05	19:30:00	1.13421	1.13424	1.13389	1.13404	447	0	0
2022.01.05	19:45:00	1.13404	1.13460	1.13398	1.13414	413	0	0
2022.01.05	20:00:00	1.13414	1.13414	1.13357	1.13387	292	0	0
2022.01.05	20:15:00	1.13388	1.13412	1.13384	1.13408	275	0	0
2022.01.05	20:30:00	1.13408	1.13446	1.13403	1.13436	197	0	0
2022.01.05	20:45:00	1.13436	1.13436	1.13364	1.13372	321	0	0
2022.01.05	21:00:00	1.13375	1.13397	1.13082	1.13126	1992	0	0
2022.01.05	21:15:00	1.13127	1.13219	1.13114	1.13198	1289	0	0
2022.01.05	21:30:00	1.13198	1.13205	1.13097	1.13156	1122	0	0
2022.01.05	21:45:00	1.13156	1.13177	1.13102	1.13103	1079	0	0
2022.01.05	22:00:00	1.13104	1.13116	1.13045	1.13051	872	0	0
2022.01.05	22:15:00	1.13050	1.13116	1.13022	1.13108	642	0	0
2022.01.05	22:30:00	1.13108	1.13128	1.13078	1.13124	504	0	0
2022.01.05	22:45:00	1.13123	1.13131	1.13102	1.13111	435	0	0
2022.01.05	23:00:00	1.13111	1.13119	1.13080	1.13104	218	0	0
2022.01.05	23:15:00	1.13104	1.13133	1.13101	1.13127	157	0	0
2022.01.05	23:30:00	1.13127	1.13130	1.13115	1.13125	110	0	0
2022.01.05	23:45:00	1.13125	1.13138	1.13121	1.13127	147	0	0
2022.01.06	00:00:00	1.13127	1.13129	1.13098	1.13106	73	0	27
2022.01.06	00:15:00	1.13106	1.13122	1.13101	1.13118	23	0	4
2022.01.06	00:30:00	1.13114	1.13129	1.13094	1.13110	243	0	2
2022.01.06	00:45:00	1.13110	1.13110	1.13075	1.13092	148	0	3
2022.01.06	01:00:00	1.13092	1.13124	1.13090	1.13102	431	0	0
2022.01.06	01:15:00	1.13101	1.13115	1.13100	1.13113	118	0	0
2022.01.06	01:30:00	1.13113	1.13143	1.13111	1.13129	114	0	0
2022.01.06	01:45:00	1.13130	1.13130	1.13107	1.13107	126	0	0
2022.01.06	02:00:00	1.13106	1.13128	1.13102	1.13126	233	0	0
2022.01.06	02:15:00	1.13124	1.13132	1.13112	1.13112	143	0	0
2022.01.06	02:30:00	1.13114	1.13116	1.13082	1.13096	176	0	0
2022.01.06	02:45:00	1.13095	1.13106	1.13077	1.13082	336	0	0
2022.01.06	03:00:00	1.13083	1.13087	1.13050	1.13066	339	0	0
2022.01.06	03:15:00	1.13066	1.13097	1.13063	1.13072	255	0	0
2022.01.06	03:30:00	1.13072	1.13132	1.13070	1.13132	330	0	0
2022.01.06	03:45:00	1.13132	1.13186	1.13128	1.13166	282	0	0
2022.01.06	04:00:00	1.13166	1.13169	1.13132	1.13147	339	0	0
2022.01.06	04:15:00	1.13147	1.13147	1.13121	1.13128	263	0	0
2022.01.06	04:30:00	1.13128	1.13174	1.13126	1.13158	262	0	0
2022.01.06	04:45:00	1.13159	1.13206	1.13136	1.13191	388	0	0
2022.01.06	05:00:00	1.13191	1.13191	1.13152	1.13161	288	0	0
2022.01.06	05:15:00	1.13162	1.13164	1.13119	1.13122	244	0	0
2022.01.06	05:30:00	1.13122	1.13127	1.13089	1.13093	212	0	0
2022.01.06	05:45:00	1.13093	1.13158	1.13087	1.13152	315	0	0
2022.01.06	06:00:00	1.13152	1.13165	1.13114	1.13136	292	0	0
2022.01.06	06:15:00	1.13136	1.13149	1.13132	1.13137	209	0	0
2022.01.06	06:30:00	1.13136	1.13144	1.13124	1.13144	222	0	0
2022.01.06	06:45:00	1.13144	1.13153	1.13124	1.13124	223	0	0
2022.01.06	07:00:00	1.13123	1.13124	1.13072	1.13074	225	0	0
2022.01.06	07:15:00	1.13076	1.13118	1.13074	1.13102	195	0	0
2022.01.06	07:30:00	1.13102	1.13117	1.13073	1.13076	265	0	0
2022.01.06	07:45:00	1.13076	1.13110	1.13070	1.13092	272	0	0
2022.01.06	08:00:00	1.13092	1.13092	1.13041	1.13044	301	0	0
2022.01.06	08:15:00	1.13044	1.13054	1.13012	1.13022	325	0	0
2022.01.06	08:30:00	1.13023	1.13058	1.13013	1.13056	297	0	0
2022.01.06	08:45:00	1.13055	1.13055	1.12962	1.12971	376	0	0
2022.01.06	09:00:00	1.12971	1.12975	1.12904	1.12915	592	0	0
2022.01.06	09:15:00	1.12915	1.12947	1.12882	1.12938	597	0	0
2022.01.06	09:30:00	1.12938	1.12955	1.12861	1.12870	703	0	0
2022.01.06	09:45:00	1.12871	1.12905	1.12847	1.12897	548	0	0
2022.01.06	10:00:00	1.12898	1.13010	1.12850	1.12956	811	0	0
2022.01.06	10:15:00	1.12960	1.13056	1.12914	1.13054	693	0	0
2022.01.06	10:30:00	1.13055	1.13094	1.12982	1.12987	771	0	0
2022.01.06	10:45:00	1.12987	1.12988	1.12888	1.12938	690	0	0
2022.01.06	11:00:00	1.12938	1.12972	1.12887	1.12972	749	0	0
2022.01.06	11:15:00	1.12972	1.13071	1.12966	1.13040	744	0	0
2022.01.06	11:30:00	1.13040	1.13086	1.13025	1.13036	562	0	0
2022.01.06	11:45:00	1.13036	1.13056	1.13005	1.13054	602	0	0
2022.01.06	12:00:00	1.13052	1.13163	1.13046	1.13146	723	0	0
2022.01.06	12:15:00	1.13147	1.13268	1.13118	1.13244	916	0	0
2022.01.06	12:30:00	1.13244	1.13252	1.13131	1.13143	744	0	0
2022.01.06	12:45:00	1.13144	1.13168	1.13075	1.13124	676	0	0
2022.01.06	13:00:00	1.13124	1.13134	1.13069	1.13120	589	0	0
2022.01.06	13:15:00	1.13119	1.13137	1.13059	1.13078	491	0	0
2022.01.06	13:30:00	1.13078	1.13170	1.13023	1.13156	710	0	0
2022.01.06	13:45:00	1.13156	1.13215	1.13121	1.13132	710	0	0
2022.01.06	14:00:00	1.13133	1.13138	1.13048	1.13116	678	0	0
2022.01.06	14:15:00	1.13115	1.13148	1.13084	1.13128	694	0	0
2022.01.06	14:30:00	1.13129	1.13184	1.13126	1.13154	656	0	0
2022.01.06	14:45:00	1.13154	1.13184	1.13120	1.13133	857	0	0
2022.01.06	15:00:00	1.13134	1.13201	1.13129	1.13148	896	0	0
2022.01.06	15:15:00	1.13147	1.13168	1.13104	1.13131	852	0	0
2022.01.06	15:30:00	1.13132	1.13173	1.13030	1.13062	1092	0	0
2022.01.06	15:45:00	1.13062	1.13130	1.13060	1.13122	937	0	0
2022.01.06	16:00:00	1.13123	1.13198	1.13109	1.13137	919	0	0
2022.01.06	16:15:00	1.13138	1.13152	1.13065	1.13099	854	0	0
2022.01.06	16:30:00	1.13099	1.13314	1.13064	1.13248	1671	0	0
2022.01.06	16:45:00	1.13253	1.13319	1.13199	1.13215	1472	0	0
2022.01.06	17:00:00	1.13219	1.13289	1.13058	1.13090	1635	0	0
2022.01.06	17:15:00	1.13090	1.13131	1.13014	1.13082	1281	0	0
2022.01.06	17:30:00	1.13084	1.13178	1.13061	1.13118	1178	0	0
